==================================================
CIFAR-10 ResNet 訓練紀錄
==================================================
電腦名稱     : Mac.youyu08.in
Python 版本  : 3.10.12
PyTorch 版本 : 2.2.0
訓練裝置類型 : MPS
裝置名稱     : Apple M4 Pro
訓練開始時間 : 2026-05-02 13:30:58
總訓練時間   : 3622.40 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/100   1.4412     47.01        51.42        40.49s
2/100   0.9695     65.49        61.93        81.74s
3/100   0.7767     72.67        70.96        122.45s
4/100   0.6448     77.42        69.92        163.07s
5/100   0.5623     80.47        73.86        203.90s
6/100   0.4972     82.73        78.98        244.62s
7/100   0.4467     84.62        76.75        285.36s
8/100   0.4035     86.01        78.74        326.11s
9/100   0.3699     87.07        83.11        366.94s
10/100   0.3387     88.23        83.13        407.70s
11/100   0.2605     91.02        87.18        448.53s
12/100   0.2377     91.85        86.46        487.88s
13/100   0.2281     92.08        85.94        522.94s
14/100   0.2103     92.76        87.35        557.94s
15/100   0.2012     92.91        87.43        593.23s
16/100   0.1910     93.40        86.62        628.78s
17/100   0.1778     93.75        86.19        664.42s
18/100   0.1611     94.37        89.12        700.03s
19/100   0.1573     94.60        88.87        735.65s
20/100   0.1461     94.88        88.95        771.29s
21/100   0.1027     96.59        90.86        807.04s
22/100   0.0881     96.99        89.06        842.68s
23/100   0.0818     97.22        90.56        878.31s
24/100   0.0772     97.38        90.94        913.93s
25/100   0.0734     97.58        90.13        949.55s
26/100   0.0673     97.77        90.34        985.23s
27/100   0.0629     97.87        90.30        1020.86s
28/100   0.0645     97.76        90.93        1056.48s
29/100   0.0586     98.02        90.22        1092.12s
30/100   0.0544     98.19        90.35        1127.72s
31/100   0.0376     98.84        91.42        1163.34s
32/100   0.0328     99.02        91.52        1198.95s
33/100   0.0283     99.24        91.52        1234.57s
34/100   0.0278     99.19        91.50        1270.23s
35/100   0.0272     99.21        91.55        1305.87s
36/100   0.0239     99.37        91.48        1341.48s
37/100   0.0236     99.36        91.41        1377.27s
38/100   0.0214     99.43        91.39        1412.90s
39/100   0.0217     99.40        91.56        1448.52s
40/100   0.0205     99.42        91.11        1484.16s
41/100   0.0163     99.59        91.85        1519.81s
42/100   0.0136     99.71        91.63        1555.46s
43/100   0.0138     99.68        91.72        1591.10s
44/100   0.0133     99.67        91.74        1626.70s
45/100   0.0127     99.71        91.83        1662.34s
46/100   0.0116     99.77        91.68        1697.96s
47/100   0.0115     99.72        91.90        1733.58s
48/100   0.0114     99.73        91.88        1769.19s
49/100   0.0121     99.72        91.80        1804.79s
50/100   0.0104     99.79        91.90        1840.41s
51/100   0.0091     99.80        92.09        1876.05s
52/100   0.0081     99.85        91.92        1911.66s
53/100   0.0080     99.84        92.01        1947.31s
54/100   0.0081     99.86        92.02        1983.05s
55/100   0.0070     99.89        91.98        2018.67s
56/100   0.0077     99.86        92.00        2054.31s
57/100   0.0073     99.87        92.00        2089.95s
58/100   0.0066     99.90        92.09        2125.58s
59/100   0.0066     99.90        92.03        2161.25s
60/100   0.0065     99.90        91.96        2196.88s
61/100   0.0060     99.91        92.07        2232.51s
62/100   0.0061     99.92        92.23        2268.12s
63/100   0.0055     99.92        92.09        2303.77s
64/100   0.0060     99.91        91.94        2339.38s
65/100   0.0052     99.93        92.11        2375.01s
66/100   0.0055     99.93        92.03        2410.65s
67/100   0.0059     99.89        92.10        2446.26s
68/100   0.0050     99.94        92.10        2481.92s
69/100   0.0053     99.93        92.08        2517.54s
70/100   0.0055     99.91        91.96        2553.17s
71/100   0.0047     99.94        92.05        2588.95s
72/100   0.0047     99.93        92.09        2624.56s
73/100   0.0048     99.93        92.11        2660.19s
74/100   0.0047     99.93        92.08        2695.81s
75/100   0.0046     99.94        92.01        2731.43s
76/100   0.0048     99.92        92.05        2767.13s
77/100   0.0050     99.93        91.97        2802.77s
78/100   0.0047     99.94        92.03        2838.40s
79/100   0.0045     99.94        91.92        2874.03s
80/100   0.0040     99.96        92.03        2909.67s
81/100   0.0044     99.94        92.00        2945.30s
82/100   0.0043     99.96        91.90        2980.94s
83/100   0.0043     99.95        91.89        3016.58s
84/100   0.0043     99.94        91.99        3052.22s
85/100   0.0044     99.96        91.98        3087.86s
86/100   0.0043     99.94        92.03        3123.49s
87/100   0.0043     99.95        91.99        3159.13s
88/100   0.0041     99.95        91.90        3194.92s
89/100   0.0042     99.96        91.88        3230.54s
90/100   0.0041     99.93        91.90        3266.19s
91/100   0.0039     99.96        91.98        3301.83s
92/100   0.0038     99.96        91.91        3337.48s
93/100   0.0042     99.92        91.98        3373.15s
94/100   0.0039     99.95        92.01        3408.77s
95/100   0.0039     99.94        91.90        3444.39s
96/100   0.0041     99.97        92.02        3480.02s
97/100   0.0037     99.96        91.91        3515.66s
98/100   0.0040     99.97        91.92        3551.29s
99/100   0.0038     99.96        91.86        3586.92s
100/100   0.0040     99.95        92.02        3622.40s
--------------------------------------------------

訓練完成
