==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱     : aero01
Python 版本  : 3.10.12
PyTorch 版本 : 2.0.1+cu117
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA L40S (47.67 GB)
CUDA 版本    : 11.7
訓練開始時間 : 2026-05-04 23:38:01
總訓練時間   : 2395.84 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/100   3.9474     9.19         15.05        12.74s
2/100   3.2513     19.80        25.62        24.48s
3/100   2.7329     29.68        34.49        36.28s
4/100   2.3624     37.04        41.34        48.10s
5/100   2.0840     43.29        45.73        59.78s
6/100   1.8734     48.23        46.52        71.41s
7/100   1.7025     52.36        53.44        83.23s
8/100   1.5577     55.92        56.32        105.92s
9/100   1.4321     58.88        56.01        131.12s
10/100   1.3342     61.20        58.33        156.63s
11/100   1.2258     63.97        60.43        182.38s
12/100   1.1375     66.24        61.66        208.20s
13/100   1.0622     68.56        62.74        233.77s
14/100   0.9778     70.73        63.76        259.43s
15/100   0.9139     72.43        62.72        284.98s
16/100   0.8483     74.05        64.64        310.52s
17/100   0.7760     76.07        65.78        335.61s
18/100   0.7282     77.53        66.28        361.25s
19/100   0.6712     79.09        66.21        386.70s
20/100   0.6135     80.70        66.92        412.25s
21/100   0.5669     81.96        66.31        437.74s
22/100   0.5183     83.49        67.51        463.31s
23/100   0.4819     84.47        66.47        488.95s
24/100   0.4395     85.71        68.59        514.44s
25/100   0.3995     87.09        67.37        539.67s
26/100   0.3766     87.66        68.01        565.25s
27/100   0.3363     89.00        67.66        590.89s
28/100   0.3117     89.73        66.80        616.57s
29/100   0.2972     90.10        68.58        642.21s
30/100   0.2599     91.41        68.34        667.76s
31/100   0.2445     91.96        68.89        693.30s
32/100   0.2293     92.40        69.08        718.62s
33/100   0.2131     92.87        68.99        744.15s
34/100   0.2000     93.36        69.43        769.85s
35/100   0.1909     93.63        69.11        795.51s
36/100   0.1776     94.08        69.63        821.15s
37/100   0.1651     94.53        69.75        846.87s
38/100   0.1520     94.97        68.90        872.48s
39/100   0.1442     95.29        69.32        898.10s
40/100   0.1375     95.47        69.69        923.34s
41/100   0.1314     95.64        70.34        948.81s
42/100   0.1192     96.13        69.58        974.51s
43/100   0.1052     96.48        69.57        1000.08s
44/100   0.1056     96.55        69.57        1025.68s
45/100   0.0983     96.73        69.41        1051.17s
46/100   0.0956     96.85        70.18        1076.75s
47/100   0.0856     97.21        69.83        1102.04s
48/100   0.0867     97.21        70.12        1127.44s
49/100   0.0765     97.52        70.50        1153.03s
50/100   0.0755     97.50        70.32        1178.79s
51/100   0.0735     97.70        70.35        1204.33s
52/100   0.0667     97.89        70.71        1229.91s
53/100   0.0618     97.98        70.47        1255.46s
54/100   0.0556     98.28        70.79        1281.01s
55/100   0.0537     98.26        71.12        1306.42s
56/100   0.0522     98.25        70.87        1332.13s
57/100   0.0474     98.47        71.38        1357.80s
58/100   0.0436     98.60        71.12        1383.34s
59/100   0.0393     98.77        71.41        1408.95s
60/100   0.0379     98.80        71.54        1434.62s
61/100   0.0377     98.79        71.48        1460.20s
62/100   0.0336     98.95        71.62        1485.60s
63/100   0.0341     98.96        71.50        1510.81s
64/100   0.0316     98.95        71.86        1536.49s
65/100   0.0266     99.15        71.62        1562.12s
66/100   0.0250     99.28        71.81        1587.72s
67/100   0.0238     99.26        71.96        1613.35s
68/100   0.0222     99.33        72.30        1638.93s
69/100   0.0219     99.31        71.87        1664.54s
70/100   0.0197     99.41        72.15        1690.06s
71/100   0.0170     99.54        72.16        1715.75s
72/100   0.0171     99.48        72.12        1741.36s
73/100   0.0154     99.55        72.08        1766.97s
74/100   0.0147     99.59        72.37        1792.61s
75/100   0.0147     99.56        72.21        1818.20s
76/100   0.0132     99.61        72.19        1843.78s
77/100   0.0121     99.64        72.17        1869.18s
78/100   0.0124     99.65        72.82        1894.56s
79/100   0.0104     99.72        72.32        1920.06s
80/100   0.0101     99.72        72.43        1945.72s
81/100   0.0087     99.76        72.17        1971.28s
82/100   0.0080     99.78        72.52        1997.02s
83/100   0.0078     99.79        72.40        2022.71s
84/100   0.0074     99.80        72.51        2048.29s
85/100   0.0070     99.78        72.85        2073.77s
86/100   0.0072     99.78        72.61        2099.39s
87/100   0.0055     99.85        72.64        2125.05s
88/100   0.0061     99.83        72.56        2150.81s
89/100   0.0059     99.84        72.83        2176.58s
90/100   0.0049     99.89        72.62        2202.22s
91/100   0.0051     99.87        72.79        2227.96s
92/100   0.0052     99.88        72.50        2253.30s
93/100   0.0046     99.88        72.64        2278.84s
94/100   0.0044     99.91        72.73        2304.40s
95/100   0.0050     99.87        72.72        2330.12s
96/100   0.0043     99.88        72.62        2349.56s
97/100   0.0045     99.89        72.64        2361.12s
98/100   0.0038     99.92        72.94        2372.68s
99/100   0.0046     99.89        72.97        2384.25s
100/100   0.0041     99.90        72.78        2395.84s
--------------------------------------------------

訓練完成
