==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱     : Alberts-MacBook-Pro-6.local
Python 版本  : 3.10.12
PyTorch 版本 : 2.2.0
訓練裝置類型 : MPS
裝置名稱     : Apple M4 Pro
訓練開始時間 : 2026-05-04 23:53:19
總訓練時間   : 4834.53 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/100   3.8929     9.90         14.08        47.77s
2/100   3.1524     21.40        24.07        95.33s
3/100   2.6577     30.71        36.14        142.95s
4/100   2.3050     38.32        43.75        190.57s
5/100   2.0290     44.50        46.44        238.19s
6/100   1.8285     49.24        49.71        285.82s
7/100   1.6734     52.88        52.70        334.37s
8/100   1.5344     56.30        56.27        383.06s
9/100   1.4082     59.38        57.06        431.78s
10/100   1.3024     62.15        58.93        480.50s
11/100   1.2105     64.23        59.85        529.39s
12/100   1.1284     66.52        61.09        578.13s
13/100   1.0413     69.15        63.28        626.46s
14/100   0.9719     70.65        61.96        673.92s
15/100   0.9100     72.50        64.09        721.37s
16/100   0.8244     74.70        63.79        768.78s
17/100   0.7826     75.74        64.93        816.29s
18/100   0.7116     77.70        65.52        863.80s
19/100   0.6567     79.50        66.07        911.36s
20/100   0.6070     80.83        66.92        958.97s
21/100   0.5661     82.02        65.58        1006.55s
22/100   0.5077     83.78        67.76        1054.37s
23/100   0.4770     84.73        68.35        1101.95s
24/100   0.4291     86.07        66.66        1149.68s
25/100   0.4011     86.91        67.87        1197.35s
26/100   0.3635     87.97        67.77        1244.96s
27/100   0.3351     89.04        68.02        1292.82s
28/100   0.3095     89.83        68.81        1341.23s
29/100   0.2840     90.63        68.66        1390.75s
30/100   0.2616     91.42        68.45        1440.26s
31/100   0.2409     92.11        69.53        1489.84s
32/100   0.2364     92.13        68.65        1539.58s
33/100   0.2091     93.04        69.42        1589.23s
34/100   0.2014     93.40        68.87        1638.81s
35/100   0.1825     93.91        69.04        1687.03s
36/100   0.1732     94.31        69.29        1734.92s
37/100   0.1605     94.71        69.02        1782.72s
38/100   0.1536     94.94        69.44        1830.58s
39/100   0.1444     95.23        69.33        1878.45s
40/100   0.1343     95.52        69.89        1926.46s
41/100   0.1237     96.03        70.00        1974.29s
42/100   0.1120     96.32        68.87        2022.10s
43/100   0.1175     96.02        69.71        2069.96s
44/100   0.1062     96.51        69.89        2117.79s
45/100   0.0937     96.89        69.41        2165.65s
46/100   0.0922     96.86        70.38        2213.48s
47/100   0.0842     97.31        70.52        2261.48s
48/100   0.0829     97.35        70.06        2309.59s
49/100   0.0814     97.28        70.25        2357.74s
50/100   0.0753     97.54        70.48        2405.95s
51/100   0.0678     97.79        70.16        2454.13s
52/100   0.0607     98.05        70.54        2502.29s
53/100   0.0603     98.06        70.83        2550.55s
54/100   0.0604     98.04        71.28        2599.26s
55/100   0.0520     98.38        71.15        2647.51s
56/100   0.0518     98.35        71.01        2695.90s
57/100   0.0475     98.48        70.66        2744.45s
58/100   0.0445     98.59        71.40        2793.09s
59/100   0.0425     98.65        71.39        2841.82s
60/100   0.0354     98.91        71.46        2890.94s
61/100   0.0360     98.88        71.10        2940.19s
62/100   0.0335     98.91        71.61        2988.32s
63/100   0.0310     99.00        72.05        3036.21s
64/100   0.0269     99.11        71.12        3083.93s
65/100   0.0279     99.12        71.68        3131.70s
66/100   0.0251     99.21        71.56        3179.50s
67/100   0.0240     99.25        72.00        3227.30s
68/100   0.0229     99.29        71.67        3275.08s
69/100   0.0200     99.39        72.32        3322.83s
70/100   0.0191     99.40        72.40        3370.57s
71/100   0.0168     99.51        72.08        3418.29s
72/100   0.0153     99.52        72.04        3466.02s
73/100   0.0155     99.53        72.23        3513.74s
74/100   0.0146     99.56        72.39        3561.49s
75/100   0.0121     99.63        72.23        3609.23s
76/100   0.0125     99.66        72.57        3657.35s
77/100   0.0099     99.69        72.53        3706.27s
78/100   0.0097     99.72        72.57        3755.30s
79/100   0.0104     99.69        72.38        3804.27s
80/100   0.0086     99.76        72.61        3852.15s
81/100   0.0087     99.74        72.61        3899.91s
82/100   0.0083     99.77        72.76        3948.32s
83/100   0.0080     99.77        72.60        3997.38s
84/100   0.0071     99.80        72.68        4046.77s
85/100   0.0068     99.81        72.90        4096.30s
86/100   0.0064     99.82        73.05        4145.82s
87/100   0.0056     99.83        72.85        4195.18s
88/100   0.0055     99.85        72.92        4244.38s
89/100   0.0050     99.88        72.93        4293.26s
90/100   0.0049     99.87        72.92        4342.21s
91/100   0.0047     99.86        72.86        4392.28s
92/100   0.0049     99.87        72.99        4442.23s
93/100   0.0048     99.88        72.97        4491.64s
94/100   0.0040     99.90        72.93        4540.43s
95/100   0.0043     99.88        72.94        4589.31s
96/100   0.0041     99.90        72.90        4638.24s
97/100   0.0040     99.90        72.88        4687.18s
98/100   0.0043     99.89        72.90        4736.05s
99/100   0.0042     99.88        72.94        4784.85s
100/100   0.0040     99.90        73.04        4834.53s
--------------------------------------------------

訓練完成
