==================================================
CIFAR-100 ResNet 訓練紀錄
==================================================
電腦名稱     : Alberts-MacBook-Pro-6.local
Python 版本  : 3.10.12
PyTorch 版本 : 2.2.0
訓練裝置類型 : MPS
裝置名稱     : Apple M4 Pro
訓練開始時間 : 2026-05-04 22:55:51
總訓練時間   : 1441.70 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/30    3.9033     9.79         15.57        49.37s
2/30    3.1914     20.68        25.79        97.20s
3/30    2.6399     31.26        36.79        145.03s
4/30    2.2690     38.98        44.21        192.87s
5/30    1.9957     45.31        47.24        240.73s
6/30    1.7903     50.22        49.03        288.58s
7/30    1.6244     54.23        56.00        336.41s
8/30    1.4830     57.44        57.22        385.20s
9/30    1.3566     60.98        58.34        434.15s
10/30    1.2533     63.39        60.66        483.09s
11/30    1.1510     66.15        60.53        532.04s
12/30    1.0545     68.47        63.64        581.09s
13/30    0.9610     71.11        63.88        630.00s
14/30    0.8762     73.50        65.53        678.60s
15/30    0.7958     75.70        66.09        726.27s
16/30    0.7210     77.81        68.32        773.95s
17/30    0.6468     79.83        68.15        821.62s
18/30    0.5773     81.87        68.37        869.28s
19/30    0.5156     83.85        69.09        916.93s
20/30    0.4568     85.48        68.84        964.56s
21/30    0.4058     86.99        70.22        1012.18s
22/30    0.3583     88.79        70.22        1059.82s
23/30    0.3148     90.15        70.75        1107.48s
24/30    0.2851     91.22        70.86        1155.18s
25/30    0.2563     92.02        70.77        1202.91s
26/30    0.2385     92.71        71.06        1250.62s
27/30    0.2206     93.32        71.11        1298.32s
28/30    0.2100     93.69        71.24        1346.09s
29/30    0.2030     94.01        71.17        1393.96s
30/30    0.1994     94.17        71.10        1441.70s
--------------------------------------------------

訓練完成
