==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : aero01
Python 版本  : 3.10.12
PyTorch 版本 : 2.2.0+cu121
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA L40S (47.67 GB)
CUDA 版本    : 12.1
訓練開始時間 : 2026-05-02 14:49:59
總訓練時間   : 108.33 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2149     93.39        98.52        2.64s
2/50    0.0728     97.86        99.08        4.80s
3/50    0.0494     98.56        98.91        6.94s
4/50    0.0420     98.76        99.24        9.10s
5/50    0.0331     99.01        99.17        11.21s
6/50    0.0287     99.09        99.23        13.33s
7/50    0.0255     99.18        99.07        15.41s
8/50    0.0229     99.30        99.37        17.57s
9/50    0.0199     99.36        99.32        19.63s
10/50    0.0165     99.44        99.39        21.75s
11/50    0.0172     99.44        99.38        23.85s
12/50    0.0158     99.52        99.41        25.98s
13/50    0.0147     99.53        99.38        28.01s
14/50    0.0151     99.54        99.45        30.06s
15/50    0.0131     99.55        99.50        32.24s
16/50    0.0113     99.62        99.39        34.43s
17/50    0.0103     99.65        99.32        36.59s
18/50    0.0111     99.63        99.22        38.65s
19/50    0.0091     99.70        99.40        41.00s
20/50    0.0098     99.70        99.42        43.33s
21/50    0.0096     99.67        99.24        45.72s
22/50    0.0090     99.69        99.46        47.99s
23/50    0.0083     99.73        99.38        50.27s
24/50    0.0095     99.67        99.40        52.48s
25/50    0.0069     99.78        99.36        54.59s
26/50    0.0075     99.74        99.35        56.77s
27/50    0.0067     99.78        99.26        58.90s
28/50    0.0090     99.73        99.35        60.97s
29/50    0.0060     99.80        99.44        63.10s
30/50    0.0055     99.83        99.47        65.22s
31/50    0.0078     99.75        99.23        67.39s
32/50    0.0061     99.79        99.43        69.51s
33/50    0.0062     99.79        99.45        71.67s
34/50    0.0073     99.75        99.38        73.87s
35/50    0.0061     99.81        99.49        76.06s
36/50    0.0074     99.77        99.33        78.18s
37/50    0.0058     99.81        99.29        80.39s
38/50    0.0063     99.81        99.41        82.54s
39/50    0.0045     99.85        99.48        84.72s
40/50    0.0076     99.79        99.40        86.87s
41/50    0.0051     99.83        99.40        89.07s
42/50    0.0059     99.82        99.48        91.19s
43/50    0.0053     99.83        99.47        93.36s
44/50    0.0068     99.79        99.42        95.59s
45/50    0.0028     99.88        99.53        97.69s
46/50    0.0054     99.83        99.45        99.82s
47/50    0.0056     99.84        99.33        101.92s
48/50    0.0051     99.84        99.41        104.03s
49/50    0.0054     99.85        99.41        106.19s
50/50    0.0054     99.85        99.47        108.33s
--------------------------------------------------

訓練完成
