==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : Jian-Wei-AMD
Python 版本  : 3.10.11
PyTorch 版本 : 2.6.0+cu124
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA GeForce RTX 4060 Ti (17.18 GB)
CUDA 版本    : 12.4
訓練開始時間 : 2026-05-05 01:34:19
總訓練時間   : 154.83 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2217     93.08        98.69        6.93s
2/50    0.0739     97.84        99.03        9.90s
3/50    0.0519     98.45        99.15        12.86s
4/50    0.0425     98.75        99.18        15.82s
5/50    0.0339     98.97        99.32        18.83s
6/50    0.0301     99.06        99.29        21.79s
7/50    0.0243     99.23        99.33        24.73s
8/50    0.0236     99.26        99.36        27.75s
9/50    0.0204     99.37        99.27        30.71s
10/50    0.0190     99.39        99.27        33.67s
11/50    0.0182     99.38        99.28        36.72s
12/50    0.0135     99.57        99.33        39.77s
13/50    0.0155     99.50        99.44        42.90s
14/50    0.0147     99.53        99.31        45.96s
15/50    0.0123     99.62        99.24        49.04s
16/50    0.0126     99.58        99.18        51.99s
17/50    0.0116     99.65        99.20        55.20s
18/50    0.0104     99.67        99.37        58.19s
19/50    0.0111     99.62        99.40        61.16s
20/50    0.0116     99.64        99.32        64.18s
21/50    0.0100     99.66        99.38        67.24s
22/50    0.0099     99.67        99.37        70.29s
23/50    0.0081     99.73        99.32        73.29s
24/50    0.0089     99.70        99.36        76.27s
25/50    0.0087     99.74        99.31        79.27s
26/50    0.0066     99.79        99.44        82.30s
27/50    0.0063     99.79        99.35        85.36s
28/50    0.0072     99.77        99.40        88.41s
29/50    0.0055     99.81        99.30        91.48s
30/50    0.0095     99.68        99.42        94.47s
31/50    0.0059     99.81        99.31        97.49s
32/50    0.0086     99.73        99.38        100.51s
33/50    0.0065     99.80        99.43        103.53s
34/50    0.0056     99.81        99.34        106.54s
35/50    0.0070     99.77        99.37        109.52s
36/50    0.0070     99.78        99.26        112.52s
37/50    0.0060     99.81        99.40        115.52s
38/50    0.0055     99.81        99.28        118.52s
39/50    0.0068     99.80        99.16        121.51s
40/50    0.0085     99.74        99.37        124.53s
41/50    0.0047     99.85        99.35        127.57s
42/50    0.0061     99.83        99.31        130.64s
43/50    0.0044     99.85        99.19        133.69s
44/50    0.0070     99.80        99.38        136.78s
45/50    0.0050     99.84        99.33        139.82s
46/50    0.0044     99.86        99.35        142.80s
47/50    0.0061     99.82        99.37        145.78s
48/50    0.0042     99.86        99.37        148.78s
49/50    0.0055     99.83        99.27        151.78s
50/50    0.0055     99.84        99.30        154.83s
--------------------------------------------------

訓練完成
