==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : Jian-Wei-AMD
Python 版本  : 3.10.11
PyTorch 版本 : 2.6.0+cu124
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA GeForce RTX 4060 Ti (17.18 GB)
CUDA 版本    : 12.4
訓練開始時間 : 2026-05-04 22:44:55
總訓練時間   : 464.15 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2264     93.11        98.43        6.83s
2/50    0.0741     97.82        98.79        13.69s
3/50    0.0548     98.42        99.15        20.44s
4/50    0.0413     98.76        99.32        27.22s
5/50    0.0365     98.89        99.28        33.88s
6/50    0.0300     99.06        99.17        40.64s
7/50    0.0265     99.15        99.25        47.41s
8/50    0.0225     99.30        99.26        54.28s
9/50    0.0221     99.34        99.33        61.59s
10/50    0.0191     99.36        99.26        68.28s
11/50    0.0181     99.41        99.17        75.19s
12/50    0.0161     99.51        99.42        82.03s
13/50    0.0162     99.48        99.26        88.83s
14/50    0.0128     99.60        99.07        95.80s
15/50    0.0145     99.55        99.32        102.64s
16/50    0.0112     99.64        99.42        109.66s
17/50    0.0110     99.62        99.39        117.33s
18/50    0.0100     99.67        99.34        125.14s
19/50    0.0115     99.63        99.34        140.79s
20/50    0.0109     99.66        99.39        149.27s
21/50    0.0099     99.68        99.36        157.06s
22/50    0.0087     99.72        99.26        164.60s
23/50    0.0091     99.70        99.43        180.24s
24/50    0.0079     99.72        99.36        191.65s
25/50    0.0082     99.74        99.37        199.01s
26/50    0.0072     99.76        99.44        206.34s
27/50    0.0059     99.79        99.29        222.22s
28/50    0.0096     99.71        99.32        234.05s
29/50    0.0077     99.74        99.27        241.64s
30/50    0.0069     99.78        99.40        249.19s
31/50    0.0073     99.77        99.36        264.95s
32/50    0.0073     99.76        99.43        277.37s
33/50    0.0058     99.80        99.32        284.85s
34/50    0.0059     99.82        99.35        292.18s
35/50    0.0073     99.76        99.40        307.82s
36/50    0.0052     99.84        99.39        319.92s
37/50    0.0069     99.78        99.37        327.54s
38/50    0.0074     99.76        99.44        334.99s
39/50    0.0077     99.77        99.29        349.61s
40/50    0.0061     99.81        99.41        362.72s
41/50    0.0035     99.87        99.41        370.42s
42/50    0.0070     99.78        99.40        377.97s
43/50    0.0065     99.80        99.22        392.07s
44/50    0.0040     99.87        99.45        405.83s
45/50    0.0030     99.91        99.50        413.60s
46/50    0.0038     99.88        99.37        421.30s
47/50    0.0055     99.83        99.30        433.67s
48/50    0.0073     99.79        99.26        448.82s
49/50    0.0043     99.86        99.29        456.77s
50/50    0.0085     99.79        99.35        464.15s
--------------------------------------------------

訓練完成
