==================================================
MNIST CNN 訓練紀錄
==================================================
電腦名稱     : Jian-Wei-AMD
Python 版本  : 3.10.11
PyTorch 版本 : 2.6.0+cu124
訓練裝置類型 : CUDA
裝置名稱     : NVIDIA GeForce RTX 4060 Ti (17.18 GB)
CUDA 版本    : 12.4
訓練開始時間 : 2026-05-04 23:45:02
總訓練時間   : 452.26 秒

--------------------------------------------------
Epoch    Loss       Train Acc    Test Acc     累計時間
--------------------------------------------------
1/50    0.2281     92.98        98.56        7.43s
2/50    0.0758     97.80        98.95        14.75s
3/50    0.0533     98.44        99.14        25.33s
4/50    0.0439     98.69        99.04        36.01s
5/50    0.0387     98.82        99.02        44.46s
6/50    0.0304     99.07        99.36        51.90s
7/50    0.0266     99.15        99.32        59.37s
8/50    0.0255     99.19        99.10        70.00s
9/50    0.0207     99.32        99.39        80.74s
10/50    0.0172     99.45        99.43        89.49s
11/50    0.0160     99.49        99.29        96.90s
12/50    0.0181     99.42        99.27        104.30s
13/50    0.0140     99.52        99.38        115.22s
14/50    0.0133     99.60        99.44        125.86s
15/50    0.0133     99.58        99.41        134.81s
16/50    0.0117     99.63        99.31        142.30s
17/50    0.0125     99.56        99.34        149.67s
18/50    0.0121     99.62        99.34        160.61s
19/50    0.0108     99.67        99.30        171.28s
20/50    0.0107     99.68        99.26        180.11s
21/50    0.0088     99.68        99.44        187.69s
22/50    0.0099     99.67        99.46        195.14s
23/50    0.0096     99.67        99.37        205.88s
24/50    0.0086     99.73        99.43        216.55s
25/50    0.0062     99.78        99.36        225.33s
26/50    0.0088     99.71        99.41        232.88s
27/50    0.0068     99.78        99.41        240.24s
28/50    0.0076     99.75        99.35        250.96s
29/50    0.0075     99.75        99.41        261.62s
30/50    0.0076     99.75        99.41        270.36s
31/50    0.0079     99.78        99.38        277.82s
32/50    0.0040     99.88        99.49        285.17s
33/50    0.0073     99.79        99.46        295.98s
34/50    0.0051     99.80        99.47        306.69s
35/50    0.0065     99.80        99.40        315.42s
36/50    0.0078     99.75        99.44        323.26s
37/50    0.0065     99.83        99.34        331.38s
38/50    0.0062     99.80        99.44        342.13s
39/50    0.0070     99.78        99.44        353.03s
40/50    0.0074     99.78        99.41        361.66s
41/50    0.0029     99.89        99.41        369.31s
42/50    0.0055     99.86        99.44        376.85s
43/50    0.0048     99.84        99.34        387.66s
44/50    0.0037     99.88        99.47        398.32s
45/50    0.0046     99.86        99.36        407.11s
46/50    0.0051     99.85        99.44        414.64s
47/50    0.0060     99.82        99.41        421.98s
48/50    0.0056     99.83        99.33        432.71s
49/50    0.0055     99.84        99.31        443.48s
50/50    0.0049     99.86        99.40        452.26s
--------------------------------------------------

訓練完成
